Filename	DirectLink	FileLink
B21420151	https://drive.google.com/uc?id=1aQJRD6qwEIRYnwmkWoPgQud9Dy7-UmfB&export=download	https://drive.google.com/file/d/1aQJRD6qwEIRYnwmkWoPgQud9Dy7-UmfB/edit
B21420146	https://drive.google.com/uc?id=1z5Aoq04JGbFn9euylajX5K6PusLHAwrp&export=download	https://drive.google.com/file/d/1z5Aoq04JGbFn9euylajX5K6PusLHAwrp/edit
B21420137	https://drive.google.com/uc?id=1HD52QvG-EPxNyrLsKGPnKzTNss0QY7GG&export=download	https://drive.google.com/file/d/1HD52QvG-EPxNyrLsKGPnKzTNss0QY7GG/edit
B21420114 	https://drive.google.com/uc?id=13Fx-j0ETQBeiZjBTzRieShcuVkJ1axAU&export=download	https://drive.google.com/file/d/13Fx-j0ETQBeiZjBTzRieShcuVkJ1axAU/edit
B21420112	https://drive.google.com/uc?id=1HznfxNTeiyMi8jTwTkW_pLgLSH7VtUv7&export=download	https://drive.google.com/file/d/1HznfxNTeiyMi8jTwTkW_pLgLSH7VtUv7/edit
B21420106	https://drive.google.com/uc?id=1umxlzishba9OZOsqibkJhZgX86S4iG6r&export=download	https://drive.google.com/file/d/1umxlzishba9OZOsqibkJhZgX86S4iG6r/edit
B21420081	https://drive.google.com/uc?id=1v14O2qwkt10ZTKtFSWqEuI2lGsm0jzmm&export=download	https://drive.google.com/file/d/1v14O2qwkt10ZTKtFSWqEuI2lGsm0jzmm/edit
B21420045	https://drive.google.com/uc?id=1OJ0MClgtJef4qGkHBSf8bi150V1fhlJg&export=download	https://drive.google.com/file/d/1OJ0MClgtJef4qGkHBSf8bi150V1fhlJg/edit
B21420043	https://drive.google.com/uc?id=14H9pDC_zvIxWEVdlOY0_ercxKWf1yH78&export=download	https://drive.google.com/file/d/14H9pDC_zvIxWEVdlOY0_ercxKWf1yH78/edit
B21420019	https://drive.google.com/uc?id=1BidPHs4lwITkPF_4FZlZNIKrybsnPkTE&export=download	https://drive.google.com/file/d/1BidPHs4lwITkPF_4FZlZNIKrybsnPkTE/edit
B21420012	https://drive.google.com/uc?id=1OremOT9mHt8EnFEu2rrO_Dc-BBSmg5zJ&export=download	https://drive.google.com/file/d/1OremOT9mHt8EnFEu2rrO_Dc-BBSmg5zJ/edit
B21240399	https://drive.google.com/uc?id=1c1JY1m0Ujv4UZ5Jb9Y5ILjWSLnr43Q18&export=download	https://drive.google.com/file/d/1c1JY1m0Ujv4UZ5Jb9Y5ILjWSLnr43Q18/edit
B20420096	https://drive.google.com/uc?id=1EktYXAbeBzGdl8aALag7bVmijWdacrFE&export=download	https://drive.google.com/file/d/1EktYXAbeBzGdl8aALag7bVmijWdacrFE/edit
B20243569	https://drive.google.com/uc?id=1imSuHC7Q2td6mxamI0boB2SjK_dI3xZR&export=download	https://drive.google.com/file/d/1imSuHC7Q2td6mxamI0boB2SjK_dI3xZR/edit
B12420631	https://drive.google.com/uc?id=1r2mf870HPtBJZinKaBHXJ5GBgtA0wYWA&export=download	https://drive.google.com/file/d/1r2mf870HPtBJZinKaBHXJ5GBgtA0wYWA/edit
A55553477	https://drive.google.com/uc?id=1N7Fgxbengrr3awgv3tcmFgNjxLLMOPAm&export=download	https://drive.google.com/file/d/1N7Fgxbengrr3awgv3tcmFgNjxLLMOPAm/edit
